company,sector,subsector,pricing_url
Gong,Sales & Revenue,Conversation Intelligence,https://www.gong.io/pricing
Chorus (ZoomInfo),Sales & Revenue,Conversation Intelligence,https://www.zoominfo.com/pricing
Fireflies.ai,Sales & Revenue,Conversation Intelligence,https://fireflies.ai/pricing
Otter.ai,Sales & Revenue,Conversation Intelligence,https://otter.ai/pricing
Fathom,Sales & Revenue,Conversation Intelligence,https://fathom.video/pricing
Jiminny,Sales & Revenue,Conversation Intelligence,https://www.jiminny.com/pricing
Avoma,Sales & Revenue,Conversation Intelligence,https://www.avoma.com/pricing
Revenue.io,Sales & Revenue,Conversation Intelligence,https://www.revenue.io/pricing
ExecVision,Sales & Revenue,Conversation Intelligence,https://www.execvision.io/pricing
Balto,Sales & Revenue,Conversation Intelligence,https://www.balto.ai/pricing
CallRail,Sales & Revenue,Conversation Intelligence,https://www.callrail.com/pricing
Invoca,Sales & Revenue,Conversation Intelligence,https://www.invoca.com/pricing
Refract,Sales & Revenue,Conversation Intelligence,https://www.refract.ai/pricing
HockeyStack,Sales & Revenue,Revenue Attribution & Analytics,https://www.hockeystack.com/pricing
Clari,Sales & Revenue,Revenue Attribution & Analytics,https://www.clari.com/pricing
Dreamdata,Sales & Revenue,Revenue Attribution & Analytics,https://www.dreamdata.io/pricing
Bizible (Marketo),Sales & Revenue,Revenue Attribution & Analytics,https://business.adobe.com/products/marketo/bizible.html
CaliberMind,Sales & Revenue,Revenue Attribution & Analytics,https://www.calibermind.com/pricing
People.ai,Sales & Revenue,Revenue Attribution & Analytics,https://people.ai/pricing
BoostUp,Sales & Revenue,Revenue Attribution & Analytics,https://www.boostup.ai/pricing
Aviso,Sales & Revenue,Revenue Attribution & Analytics,https://www.aviso.com/pricing
Mediafly (InsightSquared),Sales & Revenue,Revenue Attribution & Analytics,https://www.mediafly.com/pricing
Salesloft,Sales & Revenue,Sales Engagement,https://www.salesloft.com/pricing
Outreach,Sales & Revenue,Sales Engagement,https://www.outreach.io/pricing
Apollo.io,Sales & Revenue,Sales Engagement,https://www.apollo.io/pricing
Instantly,Sales & Revenue,Sales Engagement,https://instantly.ai/pricing
Lemlist,Sales & Revenue,Sales Engagement,https://www.lemlist.com/pricing
Reply.io,Sales & Revenue,Sales Engagement,https://reply.io/pricing
Woodpecker,Sales & Revenue,Sales Engagement,https://woodpecker.co/pricing
Mailshake,Sales & Revenue,Sales Engagement,https://mailshake.com/pricing
Mixmax,Sales & Revenue,Sales Engagement,https://www.mixmax.com/pricing
Smartlead,Sales & Revenue,Sales Engagement,https://www.smartlead.ai/pricing
Groove (Clari),Sales & Revenue,Sales Engagement,https://www.groove.co/pricing
Yesware,Sales & Revenue,Sales Engagement,https://www.yesware.com/pricing
Klenty,Sales & Revenue,Sales Engagement,https://www.klenty.com/pricing
Mailstand,Sales & Revenue,Sales Engagement,https://mailstand.com/pricing
Seismic,Sales & Revenue,Sales Enablement,https://seismic.com/pricing
Highspot,Sales & Revenue,Sales Enablement,https://www.highspot.com/pricing
Showpad,Sales & Revenue,Sales Enablement,https://www.showpad.com/pricing
Mindtickle,Sales & Revenue,Sales Enablement,https://www.mindtickle.com/pricing
Allego,Sales & Revenue,Sales Enablement,https://www.allego.com/pricing
Guru,Sales & Revenue,Sales Enablement,https://www.getguru.com/pricing
Spekit,Sales & Revenue,Sales Enablement,https://www.spekit.com/pricing
SalesHood,Sales & Revenue,Sales Enablement,https://www.saleshood.com/pricing
Lessonly (Seismic),Sales & Revenue,Sales Enablement,https://www.lessonly.com/pricing
Brainshark,Sales & Revenue,Sales Enablement,https://www.brainshark.com/pricing
Second Nature,Sales & Revenue,Sales Enablement,https://www.secondnature.ai/pricing
Bigtincan,Sales & Revenue,Sales Enablement,https://www.bigtincan.com/pricing
HubSpot Sales Hub,Sales & Revenue,CRM & Pipeline,https://www.hubspot.com/pricing/sales
Salesforce Sales Cloud,Sales & Revenue,CRM & Pipeline,https://www.salesforce.com/sales/pricing
Pipedrive,Sales & Revenue,CRM & Pipeline,https://www.pipedrive.com/pricing
Close,Sales & Revenue,CRM & Pipeline,https://www.close.com/pricing
Freshsales,Sales & Revenue,CRM & Pipeline,https://www.freshworks.com/crm/pricing
Monday Sales CRM,Sales & Revenue,CRM & Pipeline,https://monday.com/crm/pricing
Attio,Sales & Revenue,CRM & Pipeline,https://attio.com/pricing
Folk,Sales & Revenue,CRM & Pipeline,https://www.folk.app/pricing
Copper,Sales & Revenue,CRM & Pipeline,https://www.copper.com/pricing
Nutshell,Sales & Revenue,CRM & Pipeline,https://www.nutshell.com/pricing
